ct;epad;epan;ewad;ewan;emad;eman
497000;526;76;282;51;244;25
498000;1398;241;757;170;641;71
499300;794;132;448;85;346;47
499400;1264;264;710;176;554;88
500300;1911;336;1101;229;810;107
50100;768;101;458;78;310;23
501000;704;129;392;89;312;40
503002;3215;543;1815;381;1400;162
504100;2178;358;1228;239;950;119
50600;771;88;454;66;317;22
507000;955;137;524;97;431;40
508000;694;130;389;88;305;42
50900;481;75;292;53;189;22
509400;2149;348;1227;251;922;97
51000;451;70;278;50;173;20
510000;651;112;385;77;266;35
51100;50;5;34;4;16;1
512000;838;152;463;103;375;49
512800;474;75;276;45;198;30
512900;440;56;253;38;187;18
513800;747;107;440;73;307;34
514000;756;96;463;71;293;25
515100;1083;151;631;102;452;49
515200;921;155;534;109;387;46
515300;763;133;475;89;288;44
515401;1117;169;655;120;462;49
516100;713;119;385;79;328;40
516200;949;130;520;80;429;50
517000;744;116;424;76;320;40
518001;2009;323;1159;221;850;102
519000;1748;231;927;143;821;88
520001;1600;259;872;167;728;92
520002;1531;240;848;163;683;77
521100;2319;272;1261;178;1058;94
521200;1983;270;1095;187;888;83
521301;1830;289;1053;195;777;94
521302;1994;256;1080;169;914;87
521401;1337;174;743;113;594;61
521402;2194;272;1145;174;1049;98
521500;2229;298;1200;189;1029;109
522000;1279;199;731;134;548;65
523100;1695;176;1004;130;691;46
523200;1878;224;1069;144;809;80
523300;1918;242;1064;176;854;66
523400;2392;328;1405;241;987;87
523501;2237;269;1236;169;1001;100
523502;734;112;425;82;309;30
523600;2408;353;1362;242;1046;111
523701;2128;319;1150;201;978;118
523702;2536;398;1414;278;1122;120
523800;2450;357;1343;253;1107;104
524000;1091;172;569;114;522;58
525100;1111;171;634;117;477;54
525200;1129;178;645;130;484;48
525300;1216;193;649;127;567;66
526101;2105;278;1119;183;986;95
526102;1065;134;548;86;517;48
526201;2184;269;1142;186;1042;83
526202;2512;323;1333;224;1179;99
526301;2252;319;1200;209;1052;110
526302;2459;302;1296;192;1163;110
550900;675;117;371;69;304;48
551200;1397;248;791;158;606;90
551300;1290;194;706;126;584;68
551900;516;113;286;64;230;49
552000;1239;189;735;137;504;52
552100;359;78;215;46;144;32
552200;479;77;280;56;199;21
552300;893;121;503;75;390;46
552400;1397;236;764;161;633;75
560400;497;80;304;52;193;28
560500;983;159;548;110;435;49
560600;401;80;232;48;169;32
561000;466;66;247;30;219;36
561100;340;45;196;29;144;16
561200;425;60;239;37;186;23
561400;1625;227;1003;173;622;54
561500;1097;172;660;126;437;46
561600;961;155;547;101;414;54
561700;303;38;157;21;146;17
561900;848;87;502;63;346;24
562000;776;169;404;95;372;74
562300;1335;226;775;148;560;78
562400;1094;148;626;109;468;39
562500;976;130;552;85;424;45
562600;1024;166;545;110;479;56
562700;448;50;241;30;207;20
562800;622;112;332;76;290;36
562900;816;131;463;87;353;44
563000;1159;171;669;127;490;44
563100;1867;238;992;167;875;71
563200;700;111;359;59;341;52
563300;887;102;462;62;425;40
563800;1845;255;998;153;847;102
563900;1963;301;1094;197;869;104
564000;1625;178;874;116;751;62
564100;517;50;261;31;256;19
564200;991;180;539;121;452;59
564400;2797;434;1529;286;1268;148
564500;806;120;440;81;366;39
60300;1043;173;533;117;510;56
60500;633;100;337;67;296;33
70300;815;114;414;70;401;44
70500;920;131;469;83;451;48
70600;841;143;479;99;362;44
70800;673;93;364;54;309;39
70900;1410;178;754;110;656;68
80200;730;119;401;87;329;32
80400;510;69;257;43;253;26
80600;851;130;440;88;411;42
80700;561;67;309;48;252;19
80900;746;110;401;61;345;49
90100;817;146;426;97;391;49
90200;1142;196;649;134;493;62
90300;650;113;351;72;299;41
980000;4;1;3;1;1;0
980100;7;0;6;0;1;0
980700;9;1;5;1;4;0
